country,country_code,id,n,lat,lon,pop_2020,per_mil,2019_Economic_Freedom_Index,GDP_Billions_PPP,GDP_per_Capita_PPP,Continent,per_mil_class,per_mil_rounded
Kazakhstan,,398,0,48,68,18815231,0,65.4,477.6 ,26252,AS,0,0
Kenya,,404,0,1,38,53968739,0,55.1,163.1 ,3491,AF,0,0
Kiribati,,296,0,1.4167,173,119760,0,47.3,0.2 ,1976,OC,0,0
"Korea, Democratic People's Republic of",,408,0,40,127,25798588,0,5.9,40.0 (2015 est.),1700 (2015 est.),AS,0,0
Kuwait,,414,0,29.3375,47.6581,4281320,0,60.8,291.5 ,66163,AS,0,0
Kyrgyzstan,,417,0,41,75,6542426,0,62.3,23.0 ,3667,AS,0,0
Lao People's Democratic Republic,,418,0,18,105,7293542,0,57.4,49.2 ,7366,AS,0,0
Latvia,,428,5,57,25,1882408,2.65617,70.4,53.9 ,27644,EU,1 - 5,2.656
Lebanon,,422,0,33.8333,35.8333,6819976,0,51.1,87.7 ,19439,AS,0,0
Lesotho,,426,0,-29.5,28.5,2145194,0,53.1,7.0 ,3581,AF,0,0
Liberia,,430,0,6.5,-9.5,5077411,0,49.7,6.1 ,1354,AF,0,0
Libyan Arab Jamahiriya,,434,0,25,17,6887247,0,N/A,64.4 ,9986,AF,0,0
Liechtenstein,,438,0,47.1667,9.5333,38147,0,N/A,6.1 CHF (2014 ),139100 (2009 est.),EU,0,0
Lithuania,,440,11,56,24,2715340,4.05106,74.2,91.2 ,32299,EU,1 - 5,4.051
Luxembourg,,442,2,49.75,6.1667,627704,3.18622,75.9,62.7 ,106374,EU,1 - 5,3.186
Macao,,446,0,22.1667,113.55,650846,0,71,71.8 ,111629,AS,0,0
Madagascar,,450,0,-20,47,27808395,0,56.6,39.7 ,1551,AF,0,0
Malawi,,454,0,-13.5,34,19211425,0,51.4,22.4 ,1167,AF,0,0
Malaysia,,458,1,2.5,112.5,32436963,0.03083,74,930.8 ,29041,AS,0 - 0.1,0.031
Maldives,,462,0,3.25,73,542151,0,53.2,6.9 ,19151,AS,0,0
Mali,,466,0,17,-4,20346106,0,58.1,41.0 ,2170,AF,0,0
Malta,,470,0,35.8333,14.5833,441750,0,68.6,19.3 ,41945,EU,0,0
Marshall Islands,,584,0,9,168,59259,0,,0.215,3789,OC,0,0
Martinique,,474,0,14.6667,-61,375213,0,,10.7,27688,NA,0,0
Mauritania,,478,0,20,-12,4669775,0,55.7,17.3 ,4444,AF,0,0
Mauritius,,480,0,-20.2833,57.55,1272140,0,73,27.5 ,21640,AF,0,0
Mayotte,,175,0,-12.8333,45.1667,273905,0,,3.3,12820,AF,0,0
Mexico,,484,11,23,-102,129166028,0.08516,64.7,2458.4 ,19903,NA,0 - 0.1,0.085
"Micronesia, Federated States of",,583,0,6.9167,158.25,115231,0,51.9,0.3 ,3393,OC,0,0
"Moldova, Republic of",,498,1,47,29,4032294,0.248,59.1,20.1 ,5661,EU,0.1 - 1,0.248
Monaco,,492,0,43.7333,7.4,39290,0,55.4,39.7 ,12979,EU,0,0
Mongolia,,496,0,46,105,3287242,0,,47,14720,AS,0,0
Montenegro,,499,0,42,19,628080,0,60.5,11.0 ,17736,EU,0,0
Montserrat,,500,0,16.75,-62.2,4993,0,,0.63,12384,NA,0,0
Morocco,,504,2,32,-5,36985624,0.05408,62.9,298.6 ,8567,AF,0 - 0.1,0.054
Mozambique,,508,0,-18.25,35,31398811,0,48.6,36.7 ,1244,AF,0,0
Myanmar,,104,0,22,98,54473253,0,53.6,328.7 ,6244,AS,0,0
Namibia,,516,1,-22,17,2548663,0.39236,58.7,26.5 ,11312,AF,0.1 - 1,0.392
Nauru,,520,0,-0.5333,166.9167,10836,0,,0.16,12052,OC,0,0
Nepal,,524,0,28,84,29225196,0,53.8,78.6 ,2679,AS,0,0
Netherlands,,528,163,52.5,5.75,17141544,9.50906,76.8,916.1 ,53635,EU,5-10,9.509
Netherlands Antilles,,530,0,12.25,-68.75,1,0,,N/A,N/A,EU,0,0
New Caledonia,,540,0,-21.5,165.5,285972,0,,9.9,38921,OC,0,0
New Zealand,,554,39,-41,174,4829021,8.07617,84.4,188.6 ,38934,OC,5-10,8.076
Nicaragua,,558,1,13,-85,6638075,0.15065,57.7,36.4 ,5849,NA,0.1 - 1,0.151
Niger,,562,0,16,8,24346468,0,51.6,21.8 ,1164,AF,0,0
Nigeria,,566,10,10,8,206984347,0.04831,57.3,1118.8 ,5929,AF,0 - 0.1,0.048
Niue,,570,0,-19.0333,-169.8667,1628,0,,0.1,5800,OC,0,0
Norfolk Island,,574,0,-29.0333,167.95,1,0,,N/A,N/A,OC,0,0
North Macedonia,,807,0,41.8333,22,2083359,0,71.1,31.0 ,14914,EU,0,0
Northern Mariana Islands,,580,0,15.2,145.75,57619,0,,1.24,24500,OC,0,0
Norway,,578,79,62,10,5428594,14.55257,73,380.0 ,71831,EU,>10,14.553
Oman,,512,0,21,57,5128058,0,61,186.6 ,45157,AS,0,0
Pakistan,,586,7,30,70,221612785,0.03159,55,1057.0 ,5358,AS,0 - 0.1,0.032
Palau,,585,0,7.5,134.5,18109,0,,0.3 ,16296,OC,0,0
"Palestinian Territory, Occupied",,275,1,32,35.25,5121112,0.19527,,26.5 ,5795,AS,0.1 - 1,0.195
Panama,,591,1,9,-80,4326296,0.23114,67.2,103.9 ,25351,NA,0.1 - 1,0.231
Papua New Guinea,,598,0,-6,147,8975531,0,58.4,30.3 ,3675,OC,0,0
Paraguay,,600,1,-23,-58,7147553,0.13991,61.8,68.3 ,9826,SA,0.1 - 1,0.14
Peru,,604,3,-10,-76,33050211,0.09077,67.8,424.4 ,13334,SA,0 - 0.1,0.091
Philippines,,608,1,13,122,109830324,0.0091,63.8,875.6 ,8315,AS,0 - 0.1,0.009
Pitcairn,,612,0,-24.7,-127.4,1,0,,N/A,N/A,OC,0,0
Poland,,616,142,52,20,37839255,3.75272,67.8,1121.0 ,29521,EU,1 - 5,3.753
Portugal,,620,11,39.5,-8,10191409,1.07934,65.3,313.4 ,30417,EU,1 - 5,1.079
Puerto Rico,,630,0,18.25,-66.5,2846860,0,,128.5,32100,NA,0,0
Qatar,,634,0,25.5,51.25,2889284,0,72.6,340.6 ,124529,AS,0,0
Reunion,,638,0,-21.1,55.6,896422,0,,22.3,25900,AF,0,0
Romania,,642,71,46,25,19214608,3.69511,68.6,481.5 ,24508,EU,1 - 5,3.695
Russia,RUS,643,483,60,100,145945524,3.30945,58.9,4007.8 ,27834,EU,1 - 5,3.309
Rwanda,,646,0,-2,30,13005303,0,71.1,24.6 ,2080,AF,0,0
Saint Barthélemy,,652,0,,,9882,0,,N/A,N/A,NA,0,0
"Saint Helena, Ascension and Tristan da Cunha",,654,0,-15.9333,-5.7,6080,0,,N/A,N/A,AF,0,0
Saint Kitts and Nevis,,659,0,17.3333,-62.75,53264,0,,1.758,31095,NA,0,0
